phrase,sentances,,,,,,,,,,,,,,,,,,,
phase boundaries,"Common components of a phase diagram are lines of equilibrium or phase boundaries, which refer to lines that mark conditions under which multiple phases can coexist at equilibrium.",,,,,,,,,,,,,,,,,,,
mark conditions,"Common components of a phase diagram are lines of equilibrium or phase boundaries, which refer to lines that mark conditions under which multiple phases can coexist at equilibrium.",,,,,,,,,,,,,,,,,,,
multiple phases,"Common components of a phase diagram are lines of equilibrium or phase boundaries, which refer to lines that mark conditions under which multiple phases can coexist at equilibrium.",,,,,,,,,,,,,,,,,,,
equilibrium phases,"Metastable phases are not shown in phase diagrams as, despite their common occurrence, they are not equilibrium phases.",,,,,,,,,,,,,,,,,,,
metastable phases,"Metastable phases are not shown in phase diagrams as, despite their common occurrence, they are not equilibrium phases.",,,,,,,,,,,,,,,,,,,
phase diagrams,"Triple points are points on phase diagrams where lines of equilibrium intersect. !! Metastable phases are not shown in phase diagrams as, despite their common occurrence, they are not equilibrium phases.",,,,,,,,,,,,,,,,,,,
common occurrence,"Metastable phases are not shown in phase diagrams as, despite their common occurrence, they are not equilibrium phases.",,,,,,,,,,,,,,,,,,,
equilibrium intersect,Triple points are points on phase diagrams where lines of equilibrium intersect.,,,,,,,,,,,,,,,,,,,
triple points,Triple points are points on phase diagrams where lines of equilibrium intersect.,,,,,,,,,,,,,,,,,,,
triple point corresponding,"For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273.",,,,,,,,,,,,,,,,,,,
stable equilibrium,"For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273.",,,,,,,,,,,,,,,,,,,
gaseous water,"For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273.",,,,,,,,,,,,,,,,,,,
single temperature,"For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273.",,,,,,,,,,,,,,,,,,,
water phase diagram,"For example, the water phase diagram has a triple point corresponding to the single temperature and pressure at which solid, liquid, and gaseous water can coexist in a stable equilibrium (273.",,,,,,,,,,,,,,,,,,,
assembling sequences,"Quantum programming is the process of assembling sequences of instructions, called quantum programs, that are capable of running on a quantum computer.",,,,,,,,,,,,,,,,,,,
called quantum programs,"Quantum programming is the process of assembling sequences of instructions, called quantum programs, that are capable of running on a quantum computer.",,,,,,,,,,,,,,,,,,,
level constructs,Quantum programming languages help express quantum algorithms using high-level constructs.,,,,,,,,,,,,,,,,,,,
optimizing compiler developed,"A quantum programming environment and optimizing compiler developed by Cambridge Quantum Computing that targets simulators and several quantum hardware back-ends, released in December 2018.",,,,,,,,,,,,,,,,,,,
several quantum hardware back,"A quantum programming environment and optimizing compiler developed by Cambridge Quantum Computing that targets simulators and several quantum hardware back-ends, released in December 2018.",,,,,,,,,,,,,,,,,,,
cambridge quantum computing,"A quantum programming environment and optimizing compiler developed by Cambridge Quantum Computing that targets simulators and several quantum hardware back-ends, released in December 2018.",,,,,,,,,,,,,,,,,,,
targets simulators,"A quantum programming environment and optimizing compiler developed by Cambridge Quantum Computing that targets simulators and several quantum hardware back-ends, released in December 2018.",,,,,,,,,,,,,,,,,,,
quantum programming environment,"A quantum programming environment and optimizing compiler developed by Cambridge Quantum Computing that targets simulators and several quantum hardware back-ends, released in December 2018.",,,,,,,,,,,,,,,,,,,
two main groups,There are two main groups of quantum programming languages: imperative quantum programming languages and functional quantum programming languages.,,,,,,,,,,,,,,,,,,,
first implemented quantum programming languages,Quantum Computation Language (QCL) is one of the first implemented quantum programming languages.,,,,,,,,,,,,,,,,,,,
density matrix,"The density matrix is a representation of a linear operator called the density operator. !! In practice, the terms density matrix and density operator are often used interchangeably. !! The density matrix is obtained from the density operator by choice of basis in the underlying space. !! The joint state of the two photons together is pure, but the density matrix for each photon individually, found by taking the partial trace of the joint density matrix, is completely mixed. !! Very roughly, the theory of a quantum Markov chain resembles that of a measure-many automaton, with some important substitutions: the initial state is to be replaced by a density matrix, and the projection operators are to be replaced by positive operator valued measures. !! In quantum mechanics, a density matrix is a matrix that describes the quantum state of a physical system.",,,,,,,,,,,,,,,,,,,
